file: /home/wyy/benchmark/SCP/OR-Large/scpnrf1.txt Thread 9 best cost: 14, time: 999.961 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf2.txt Thread 0 best cost: 15, time: 999.924 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf2.txt Thread 1 best cost: 15, time: 999.908 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf2.txt Thread 2 best cost: 15, time: 999.986 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf2.txt Thread 3 best cost: 15, time: 999.965 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf2.txt Thread 4 best cost: 15, time: 999.99 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf2.txt Thread 5 best cost: 15, time: 999.972 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf2.txt Thread 6 best cost: 15, time: 999.955 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf2.txt Thread 7 best cost: 15, time: 999.992 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf2.txt Thread 8 best cost: 15, time: 999.951 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf2.txt Thread 9 best cost: 15, time: 999.903 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf3.txt Thread 0 best cost: 14, time: 999.922 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf3.txt Thread 1 best cost: 14, time: 999.988 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf3.txt Thread 2 best cost: 14, time: 999.936 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf3.txt Thread 3 best cost: 14, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf3.txt Thread 4 best cost: 14, time: 999.95 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf3.txt Thread 5 best cost: 14, time: 999.965 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf3.txt Thread 6 best cost: 14, time: 999.966 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf3.txt Thread 7 best cost: 14, time: 999.929 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf3.txt Thread 8 best cost: 14, time: 999.978 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf3.txt Thread 9 best cost: 14, time: 999.997 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh2.txt Thread 0 best cost: 63, time: 999.873 seconds
